Bright Star , http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1, UK, $8,500,000, $4,440,055(USA)(4December2009), false
Percy Jackson & the Olympians: The Lightning Thief , http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1, UK, $95,000,000, $88,761,720(USA)(25June2010), false
The Soloist , http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1, UK, $60,000,000, $31,670,931(USA)(3July2009), false
The Last Station , http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1, Germany, €13,000,000, $6,615,578(USA)(11June2010), true
Caramel , http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1, France, €1,300,000, $1,060,591(USA)(27June2008), true
When Did You Last See Your Father? , http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1, UK, $8,000,000, $1,071,240(USA)(17October2008), false
Quantum of Solace , http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1, UK, $200,000,000, $168,368,427(USA)(23January2009), false
The Sweeney , http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1, UK, £3,000,000, $26,345(USA)(8March2013), true
Blindness , http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1, Canada, $25,000,000, $3,073,392(USA)(10October2008), false
Elite Squad , http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1, Brazil, $4,000,000, $8,060(USA)(26September2008), false
The Duchess , http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1, UK, £13,500,000, $13,823,741(USA)(5December2008), true
Ponyo , http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1, Japan, $34,000,000, $15,081,783(USA)(30October2009), false
The Children of Huang Shi , http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1, Australia, $40,000,000, $1,027,749(USA)(10October2008), false
Street Fighter: The Legend of Chun-Li , http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1, Canada, $18,000,000, $8,742,261(USA)(8May2009), false
The Good the Bad the Weird, http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1, South Korea, $10,000,000, $128,486(USA)(25June2010), false
