movie_title, movie_imdb_link, country, budget, gross, foreign_currency
The Full Monty , http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1, UK, $3,500,000, $45,857,453(USA)(24April1998), false
In the Company of Men , http://www.imdb.com/title/tt0119361/?ref_=fn_tt_tt_1, Canada, $25,000, $2,856,622(USA)(10October1997), false
Character , http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1, Netherlands, $4,500,000, $713,413(USA)(5June1998), false
Princess Mononoke , http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1, Japan, JPY 2,400,000,000, $2,298,191(USA)(17December1999), true
Primary Colors , http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1, France, $65,000,000, $38,966,057(USA)(19June1998), false
The Relic , http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1, UK, $40,000,000, $33,927,476(USA)(9May1997), false
Shooting Fish , http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1, UK, $3,000,000, $302,204(USA)(29May1998), false
Sliding Doors , http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1, UK, $9,000,000, $11,883,495(USA)(28August1998), false
Smilla's Sense of Snow , http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1, Denmark, $35,000,000, $2,221,994(USA)(25April1997), false
Soldier , http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1, UK, $60,000,000, $14,567,883(USA)(4December1998), false
Spice World , http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1, UK, $25,000,000, $29,247,405(USA)(17April1998), false
The Sweet Hereafter , http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1, Canada, CAD 5,000,000, $4,306,697(USA)(3April1998), true
Tango , http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1, Spain, ESP 700,000,000, $1,687,311(USA)(9July1999), true
Smoke Signals , http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1, Canada, $2,000,000, $6,719,300(USA)(16October1998), false
A Simple Plan , http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1, UK, $30,000,000, $16,311,763(USA)(14May1999), false
Tomorrow Never Dies , http://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1, UK, $110,000,000, $125,332,007(USA)(5June1998), false
Babe: Pig in the City , http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1, Australia, $80,000,000, $18,318,000(USA)(26March1999), false
Barney's Great Adventure , http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1, Canada, $15,000,000, $11,144,518(USA)(26June1998), false
Chicken Run , http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1, UK, $45,000,000, $106,793,915(USA)(27October2000), false
City of Angels , http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1, Germany, $55,000,000, $78,745,923(USA)(28August1998), false
Dirty Work , http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1, Canada, $13,000,000, $9,975,684(USA)(31July1998), false
Eye of the Beholder , http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1, Canada, $35,000,000, $16,459,004(USA)(24March2000), false
Eyes Wide Shut , http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1, UK, $65,000,000, $55,637,680(USA)(1October1999), false
Jakob the Liar , http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1, France, $45,000,000, $4,956,401(USA)(29October1999), false
Knock Off , http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1, Aruba, $35,000,000, $10,076,136(USA)(30October1998), false
Lock Stock and Two Smoking Barrels, http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1, UK, £960,000, $3,650,677(USA)(21May1999), true
The Lord of the Rings: The Fellowship of the Ring , http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1, New Zealand, $93,000,000, $313,837,577(USA)(5December2003), false
The Negotiator , http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1, Germany, $50,000,000, $44,484,065(USA)(30October1998), false
One Man's Hero , http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1, Spain, $11,350,000, $229,311(USA)(22October1999), false
The Red Violin , http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1, Canada, $10,000,000, $9,473,382(USA)(12November1999), false
Resident Evil , http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1, UK, $33,000,000, $39,532,308(USA)(3May2002), false
Tea with Mussolini , http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1, Italy, $12,000,000, $14,348,123(USA)(22October1999), false
eXistenZ , http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1, Canada, CAD 31,000,000, $2,840,417(USA)(18June1999), true
An Ideal Husband , http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1, UK, $14,000,000, $18,535,191(USA)(1October1999), false
Ronin , http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1, UK, $55,000,000, $41,609,593(USA)(12February1999), false
Cube , http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1, Canada, CAD 365,000, $489,220(USA)(27November1998), true
Notting Hill , http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1, UK, $42,000,000, $116,006,080(USA)(1October1999), false
Man on the Moon , http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1, UK, $82,000,000, $34,580,635(USA)(18February2000), false
Elizabeth , http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1, UK, $30,000,000, $30,012,990(USA)(7May1999), false
Ravenous , http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1, Czech Republic, $12,000,000, $2,060,953(USA)(30April1999), false
Mickey Blue Eyes , http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1, UK, $75,000,000, $33,864,342(USA)(19November1999), false
Run Lola Run , http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1, Germany, DEM 3,500,000, $7,267,324(USA)(21January2000), true
8MM , http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1, Germany, $40,000,000, $36,283,504(USA)(7May1999), false
Mystery Alaska, http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1, Canada, $28,000,000, $8,888,143(USA)(24December1999), false
Disturbing Behavior , http://www.imdb.com/title/tt0134619/?ref_=fn_tt_tt_1, Australia, $15,000,000, $17,411,331(USA)(25September1998), false
The Thirteenth Floor , http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1, Germany, $16,000,000, $15,500,000(USA), false
Central Station , http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1, Brazil, $2,900,000, $5,595,428(USA)(9July1999), false
U-571 , http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1, France, $62,000,000, $77,086,030(USA)(11August2000), false
The Ninth Gate , http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1, Spain, $38,000,000, $18,653,746(USA)(19May2000), false
The World Is Not Enough , http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1, UK, $135,000,000, $126,930,660(USA)(21April2000), false
Bride of Chucky , http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1, Canada, $25,000,000, $32,368,960(USA)(1January1999), false
Dick , http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1, France, $13,000,000, $6,241,697(USA)(3September1999), false
Three to Tango , http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1, Australia, $20,000,000, $10,544,143(USA)(10December1999), false
Simply Irresistible , http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1, Germany, $6,000,000, $4,394,936(USA)(9April1999), false
High Fidelity , http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1, UK, $30,000,000, $27,277,055(USA)(8September2000), false
The Messenger: The Story of Joan of Arc , http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1, France, $85,000,000, $14,131,298(USA)(17December1999), false
Topsy-Turvy , http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1, UK, £10,000,000, $6,201,757(USA)(19May2000), true
The Celebration , http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1, Denmark, $1,300,000, $1,647,780(USA)(19February1999), false
The Big Tease , http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1, UK, $4,000,000, $185,577(USA)(31March2000), false
Drop Dead Gorgeous , http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1, Germany, $15,000,000, $10,561,238(USA)(10September1999), false
Deterrence , http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1, France, $800,000, $144,583(USA)(19May2000), false
Nowhere in Africa , http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1, Germany, €7,000,000, $6,173,485(USA)(3October2003), true
Shaft , http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1, Germany, $46,000,000, $70,327,868(USA)(13October2000), false
Hanging Up , http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1, Germany, $60,000,000, $36,037,909(USA)(26May2000), false
Stuart Little , http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1, Germany, $133,000,000, $140,015,224(USA)(28April2000), false
East Is East , http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1, UK, £1,900,000, $4,170,647(USA)(8September2000), true
Waking Ned Devine , http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1, UK, $3,000,000, $24,788,807(USA)(18June1999), false
The Straight Story , http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1, France, $10,000,000, $6,197,866(USA)(21April2000), false
Mulholland Drive , http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1, France, $15,000,000, $7,219,578(USA)(3May2002), false
Thunderbirds , http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1, UK, $57,000,000, $6,768,055(USA)(20August2004), false
Dancer in the Dark , http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1, Denmark, $12,800,000, $4,157,491(USA)(15December2000), false
Nurse Betty , http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1, Germany, $35,000,000, $25,167,270(USA)(15December2000), false
The End of the Affair , http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1, UK, $23,000,000, $10,660,147(USA)(17March2000), false
Cecil B. DeMented , http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1, France, $10,000,000, $1,276,984(USA)(20October2000), false
La otra conquista , http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1, Mexico, $3,500,000, $886,410(USA)(19May2000), false
Quills , http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1, UK, $13,500,000, $7,060,876(USA)(27April2001), false
Anatomy , http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1, Germany, DEM 8,400,000, $5,725(USA)(8September2000), true
Birthday Girl , http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1, UK, $13,000,000, $4,919,896(USA)(15February2002), false
Godzilla 2000 , http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1, Japan, $13,000,000, $10,037,390(USA)(8December2000), false
Human Traffic , http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1, UK, £2,200,000, $104,257(USA)(19May2000), true
Just Visiting , http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1, France, $35,000,000, $4,777,007(USA)(11May2001), false
Shadow of the Vampire , http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1, UK, $8,000,000, $8,279,017(USA)(30March2001), false
Crouching Tiger Hidden Dragon, http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1, Taiwan, $17,000,000, $128,067,808(USA)(27July2001), false
O Brother Where Art Thou?, http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1, UK, $26,000,000, $45,506,619(USA)(3August2001), false
The Widow of Saint-Pierre , http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1, France, FRF 100,000,000, $3,058,380(USA)(27July2001), true
The Little Vampire , http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1, Germany, $35,000,000, $13,555,988(USA)(1December2000), false
Zoolander , http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1, Germany, $28,000,000, $45,162,741(USA)(4January2002), false
In the Cut , http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1, Australia, $12,000,000, $4,717,455(USA)(21November2003), false
The Bank Job , http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1, UK, $20,000,000, $30,028,592(USA)(30May2008), false
