Harry Potter and the Prisoner of Azkaban , http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1, UK, $130,000,000, $249,358,727(USA)(29October2004), false
The Crocodile Hunter: Collision Course , http://www.imdb.com/title/tt0305396/?ref_=fn_tt_tt_1, Australia, $13,000,000, $28,399,192(USA)(4October2002), false
Fascination , http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1, Germany, $5,000,000, $16,066(USA)(4February2005), false
Nicholas Nickleby , http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1, UK, $10,000,000, $1,309,849(USA)(7February2003), false
Willard , http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1, Canada, $22,000,000, $6,852,144(USA)(4April2003), false
Bon voyage , http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1, France, $20,000,000, $2,353,728(USA)(13August2004), false
Bowling for Columbine , http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1, Germany, $4,000,000, $21,244,913(USA)(9May2003), false
The Curse of the Were-Rabbit , http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1, UK, $30,000,000, $56,068,547(USA)(30December2005), false
Veronica Guerin , http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1, Ireland, $17,000,000, $1,569,918(USA)(28November2003), false
El crimen del padre Amaro , http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1, Mexico, $1,800,000, $5,709,616(USA)(4April2003), false
Love Actually , http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1, UK, $40,000,000, $59,365,105(USA)(13February2004), false
My Life Without Me , http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1, Spain, €2,000,000, $395,592(USA)(12December2003), true
Raising Victor Vargas , http://www.imdb.com/title/tt0316188/?ref_=fn_tt_tt_1, France, $800,000, $2,073,984(USA)(8August2003), false
Bridget Jones: The Edge of Reason , http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1, UK, $40,000,000, $40,203,020(USA)(14January2005), false
City of God , http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1, Brazil, $3,300,000, $7,563,397(USA)(18June2004), false
A Sound of Thunder , http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1, UK, $80,000,000, $1,891,821(USA)(30September2005), false
Looney Tunes: Back in Action , http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1, Germany, $80,000,000, $20,950,820(USA)(23January2004), false
Resident Evil: Apocalypse , http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1, Germany, $45,000,000, $50,740,078(USA)(29October2004), false
Sahara , http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1, UK, $130,000,000, $68,642,452(USA)(29July2005), false
Mondays in the Sun , http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1, Spain, $4,000,000, $146,402(USA)(29August2003), false
Underworld , http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1, UK, $22,000,000, $51,483,949(USA)(31October2003), false
Laws of Attraction , http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1, Ireland, $28,000,000, $17,848,322(USA)(11June2004), false
Remember Me My Love, http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1, Italy, €5,000,000, $223,878(USA)(10December2004), true
Harry Potter and the Goblet of Fire , http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1, UK, $150,000,000, $289,994,397(USA)(31March2006), false
Mambo Italiano , http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1, Canada, CAD 5,000,000, $6,239,558(USA)(5December2003), true
On the Road , http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1, France, $25,000,000, $717,753(USA)(26April2013), false
High Tension , http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1, France, €2,200,000, $3,645,438(USA)(24June2005), true
The Barbarian Invasions , http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1, Canada, CAD 6,000,000, $3,432,342(USA)(28May2004), true
Two Brothers , http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1, France, €59,660,000, $18,947,630(USA)(13August2004), true
Being Julia , http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1, Canada, $18,000,000, $7,739,049(USA)(1April2005), false
The Statement , http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1, Canada, $23,000,000, $763,044(USA)(26March2004), false
Unleashed , http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1, France, $45,000,000, $24,520,892(USA)(8July2005), false
Dear Wendy , http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1, Italy, DKK 50,000,000, $23,106(USA)(3March2006), true
Manderlay , http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1, Denmark, $14,200,000, $74,205(USA)(17March2006), false
A Very Long Engagement , http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1, France, $47,000,000, $6,167,817(USA)(25February2005), false
Arthur and the Invisibles , http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1, France, $86,000,000, $15,131,330(USA)(4May2007), false
Code 46 , http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1, UK, $7,500,000, $197,148(USA)(27August2004), false
Alexander , http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1, Germany, $155,000,000, $34,293,771(USA)(28January2005), false
Howl's Moving Castle , http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1, Japan, $24,000,000, $4,710,455(USA)(30September2005), false
Steamboy , http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1, Japan, JPY 2,127,519,898, $410,388(USA)(15April2005), true
The Bridge of San Luis Rey , http://www.imdb.com/title/tt0356443/?ref_=fn_tt_tt_1, UK, $24,000,000, $42,880(USA)(17June2005), false
Elektra , http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1, Canada, $43,000,000, $24,407,944(USA)(25March2005), false
Wimbledon , http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1, UK, $31,000,000, $16,831,505(USA)(22October2004), false
King Kong , http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1, New Zealand, $207,000,000, $218,051,260(USA)(31March2006), false
Valiant , http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1, UK, $35,000,000, $19,447,478(USA)(4November2005), false
Bride & Prejudice , http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1, UK, $7,000,000, $6,601,079(USA)(20May2005), false
Confessions of a Teenage Drama Queen , http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1, Germany, $15,000,000, $29,302,097(USA)(14May2004), false
